PROJECT,PROJECT OWNER,ADDRESS,CITY,CONTRACTOR,CONTRACT NO.,INSPECTION NO.,DATE,# of Drwgs,Drawer,Comments 
Fitts Agency,Fitts Agency,1806 6th St,Tuscaloosa,Alabama Sprinkler,,,3/19/2002,1,,
Food World,Food World,1735 Skyland Blvd,Tuscaloosa,Crumpton Sprinkler,,,3/5/1989,3,,Now America's Thrift Store 
Food World ,Food World,1735 Skyland Blvd,Tuscaloosa,Crumpton Sprinkler,,,4/14/1992,1,,Now America's Thrift Store 
Graham Boarding Home,Graham Boarding Home,Box 263 Johnson Rd,Tuscaloosa,Crumpton Sprinkler,,,10/17/1988,1,,
Group W Cable,Group W Cable,,Tuscaloosa,Crumpton Sprinkler,,,5/10/1984,1,,
Hargrove Place Apartments ,Hargrove Place Apartments,1112 Hargrove Rd ,Tuscaloosa,TFP ,TC1369,,6/2/2008,2,,
Harper - Chambers ,Harper - Chambers,4101 Andrews St ,Tuscaloosa,Crumpton Sprinkler,,,2/4/1984,1,,
Harper Chambers Lumber Co,Harper Chambers Lumber Co,4101 Andrews St ,Tuscaloosa,Crumpton Sprinkler,,,11/4/1978,2,,
Indian Rivers - Mental Illness,Indian Rivers - Mental Illness,2209 9th St ,Tuscaloosa,Alabama Sprinkler,,,2/3/2006,1,,
Indian Rivers - Mental Illness,Indian Rivers - Mental Illness,2209 9th St ,Tuscaloosa,Alabama Sprinkler,,,3/23/2004,1,,
"Jessup, Ingram & Associates, LLP ","Jessup, Ingram & Associates, LLP ",Rivermont Office Park,Tuscaloosa,TFP ,TC1416,,7/16/2009,4,,
Johnson Controls,Johnson Controls,14598 S Rosser Rd,Tuscaloosa,Crumpton Sprinkler,,,5/29/1992,1,,
Junior League of Tuscaloosa,Junior League of Tuscaloosa,2139 4th St ,Tuscaloosa,Alabama Sprinkler,,,8/10/2000,1,,
JVC Warehouse,JVC Warehouse,1010 19th Avenue E,Tuscaloosa,Crumpton Sprinkler,,,1/13/1994,2,,
Kennedy Place Apartments ,Kennedy Place Apartments ,125 Kicker Rd NE ,Tuscaloosa,TFP ,TC1143,,7/25/2004,1,,
Kensington Square Apartments ,Kensington Square Apartments ,1402 6th St,Tuscaloosa,TFP ,TC1442,,4/19/2010,1,,
Lambda Chi Alpha House ,Lambda Chi Alpha House ,601 Jefferson Ave,Tuscaloosa,FPS ,,,10/1/2007,4,,
Lowe's Lumber Canopy ,Lowe's Lumber Canopy ,4900 Oscar Baxter Dr,Tuscaloosa,TFP ,TC1255,,1/10/2007,2,,
Lowe's of Tuscaloosa ,Lowe's of Tuscaloosa ,4900 Oscar Baxter Dr,Tuscaloosa,TFP ,TC1212,,4/21/2006,2,,
Magnolia Retirement Centers,Magnolia Retirement Centers,6100 Old Greensboro Rd ,Tuscaloosa,Crumpton Sprinkler,,,4/18/1994,5,,
Magnolia Retirement Centers,Magnolia Retirement Centers,6100 Old Greensboro Rd ,Tuscaloosa,Crumpton Sprinkler,,,4/18/1974,5,,
McFarland Plaza - Ross Dress for Less (Store No. 1592) ,McFarland Plaza,2600 McFarland Blvd E Suite J ,Tuscaloosa,TFP ,TC1548,,5/4/2012,1,,
Metal Works Retail Center ,Metal Works Retail Center ,305 21st Ave,Tuscaloosa,TFP ,TC1523,,8/23/2011,1,,
Michelin North America,Michelin North America,5101 21st St,Tuscaloosa,Alabama Sprinkler,,,4/9/1999,2,,
Miracle Valley,Community Development Inc,3800 Culver Rd,Tuscaloosa,Alabama Sprinkler,,,3/3/2005,1,,
North River Yacht Club,North River Yacht Club,3100 Yacht Club Way NE,Tuscaloosa,Crumpton Sprinkler,,,8/3/1988,1,,
Northington Multi-Purpose ,Northington Multi-Purpose ,1300 21st St E,Tuscaloosa,TFP ,TC1344,,1/29/2008,2,,
Northriver Station ,Northriver Station ,Rise Mine Rd ,Tuscaloosa,FPS ,,,4/1/2003,4,,
Nucor Steel - Employee Support Facility ,Nucor Steel Plant ,1700 Holt Rd NE,Tuscaloosa,TFP ,TC1363,,7/8/2008,4,,
Partlow State School & Hospital,Partlow State School & Hospital,,Tuscaloosa,Crumpton Sprinkler,,,4/1/1987,7,,
Princeton's Restaurant,Princeton's Restaurant,2712 McFarland Blvd E,Tuscaloosa,Crumpton Sprinkler,,,9/5/1989,3,,Now Buffalo Wild Wings 
Publix ,Publix ,1190 University Blvd ,Tuscaloosa,TFP ,TC1117,,10/2/2003,2,,
Randall Publishing ,Randall Publishing ,3200 Rice Mine Rd NE ,Tuscaloosa,TFP ,TC1032,,10/8/1999,1,,
Randall Publishing ,Randall Publishing ,3200 Rice Mine Rd NE ,Tuscaloosa,TFP ,TC1046,,7/26/2000,1,,
Riverhill ,Riverhill ,915 16th Ave E ,Tuscaloosa,TFP ,TC1089,,9/12/2002,1,,
Riverwood Presbyterian Church ,Riverwood Presbyterian Church ,501 Rice Valley Rd N ,Tuscaloosa,TFP ,TC1412,,5/8/2009,2,,
Ruby Tuesday ,Ruby Tuesday ,311 Merchants Walk,Tuscaloosa,Alabama Sprinkler,,,5/10/1995,2,,
Shops of Lake Tuscaloosa - Bldg 500 Tenant Spaces  ,Shops of Lake Tuscaloosa ,4851 Rice Mine Rd NE,Tuscaloosa,FPS ,,,3/1/2005,1,,
Southern Pipe & Supply ,Southern Pipe & Supply ,5091 Jug Factory Rd,Tuscaloosa,Alabama Sprinkler,,,1/17/2007,1,,
Spiller Market Centre,Spiller Market Centre,1516 Skyland Blvd E,Tuscaloosa,Crumpton Sprinkler,,,8/11/1994,4,,
Summit Conodminiums ,Summit Conodminiums ,2301 Veterans Memorial Prkwy ,Tuscaloosa,TFP ,TC1216,,6/28/2006,1,,
The Garden District ,The Garden District ,820 12th Ave  ,Tuscaloosa,TFP ,TC1407,,2/23/2009,2,,
The Shops at Lake Tuscaloosa - Publix ,The Shops at Lake Tuscaloosa,4851 Rice Mine Rd NE,Tuscaloosa,FPS ,,,4/1/2003,5,,
The Shops at Lake Tuscaloosa - Quiznos Sub ,The Shops at Lake Tuscaloosa ,4851 Rice Mine Rd NE,Tuscaloosa,FPS ,,,10/1/2006,1,,Closed
The Tuscaloosa County Public Works Dept. ,The Tuscaloosa County Public Works Dept. ,2810 35th St,Tuscaloosa,TFP ,TC1307,,11/29/2007,3,,
The Twelve ,The Twelve ,1426 Paul Bear Bryant Dr,Tuscaloosa,TFP ,TC1580,,12/11/2012,1,,
Thompson Foster Home ,Thompson Foster Home ,404 1/2 33rd Avenue ,Tuscaloosa,Crumpton Sprinkler,,,10/20/1989,1,,
Thompson Tractor,Thompson Tractor,3550 Joe Mailsham Pkwy,Tuscaloosa,FPS ,,,3/19/2007,1,,
Thompson Tractor  ,Thompson Tractor  ,3550 Joe Mailsham Pkwy,Tuscaloosa,FPS ,,,3/1/2003,4,,
Tuscaloosa AFRC/OMS ,Tuscaloosa AFRC/OMS ,10300 Alabama Hwy 69 S,Tuscaloosa,TFP ,TC1434,,7/7/2010,5,,
Tuscaloosa Regional Detention Facility ,Tuscaloosa Regional Detention Facility ,6001 12th Ave E ,Tuscaloosa,Crumpton Sprinkler,,,2/5/1988,3,,
Tuscaloosa Regional Detention Facility ,Tuscaloosa Regional Detention Facility ,6001 12th Ave E ,Tuscaloosa,Crumpton Sprinkler,,,8/17/1988,3,,
Tuscaloosa Toyota ,Tuscaloosa Toyota ,3325 Skyland Blvd E ,Tuscaloosa,TFP ,TC1159,,2/23/2005,4,,
Tuscaloosa Tumbling Tides ,Tuscaloosa Tumbling Tides ,3150 9th Ct ,Tuscaloosa,TFP ,TC1040,,2/7/2000,1,,
UA - Beta Theta PI ,UA,960 University Blvd,Tuscaloosa,FPS ,,,6/1/2006,1,,
UA - Beta Theta PI Chapter House ,UA,960 University Blvd,Tuscaloosa,FPS ,,,8/1/2006,1,,
UA - Delta Tau Delta,UA,425 Jefferson Ave,Tuscaloosa,FPS ,,,2/1/2008,5,,
UA - Energy & Mineral Research Complex,UA ,245 7th Avenue,Tuscaloosa,Crumpton Sprinkler,,,10/24/1988,15,,
UA - Ferguson Center ,UA  Ferguson Center,751 Campus Dr W ,Tuscaloosa,TFP ,TC1447,,4/1/2010,1,,
UA - Library Annex,UA,1498 14th  Ave,Tuscaloosa,Alabama Sprinkler,,,8/6/2002,2,,
UA - Library Annex,UA,1498 14th  Ave,Tuscaloosa,Alabama Sprinkler,,,8/6/2002,2,,
UA - Lloyd Hall ,UA,503 6th Ave ,Tuscaloosa,FPS ,,,5/1/2007,3,,
UA - Manly Hall Computer Lab,UA,Manly Hall ,Tuscaloosa,FPS ,,,5/18/2006,1,,No address available
UA - PHI Gamma Delta ,UA,976 University Blvd,Tuscaloosa,FPS ,,,4/1/2007,1,,
UA - Reese Phifer Hall ,UA ,901 University Blvd,Tuscaloosa,Crumpton Sprinkler,,,2/11/1992,2,,
UA - Scientific Collection Facility ,UA ,Mary Harmon Bryant Hall ,Tuscaloosa,Crumpton Sprinkler,,,10/5/1992,13,,No address available
UA - Sigma Nu Fraternity House ,UA,990 University Blvd ,Tuscaloosa,FPS ,,,1/1/2006,1,,
UA - Southern Emulsions Incorp,UA ,3010 43rd Avenue ,Tuscaloosa,Alabama Sprinkler,,,4/8/2000,1,,
UA - Student Services Building ,UA,801 Campus Dr,Tuscaloosa,Alabama Sprinkler,,,2/10/1999,1,,
University Mall - Lenscrafters,University Mall,1701 McFarland Blvd E,Tuscaloosa,Alabama Sprinkler,,,11/10/1997,1,,
University Mall - Sports Additions ,University Mall,1701 McFarland Blvd E,Tuscaloosa,Crumpton Sprinkler,,,3/27/1992,1,,
UA-Rowhouse,UA-Rowhouse,710 12th St,Tuscaloosa,TFP ,TC1740,,11/4/2015,1,,
UA-Rowhouse,UA-Rowhouse,712 12th St,Tuscaloosa,TFP ,TC1742,,11/4/2015,1,,
VA Medical Center ,VA Medical Center ,3701 Loop Rd,Tuscaloosa,Crumpton Sprinkler,,,2/4/1992,8,,
VA Medical Center ,VA Medical Center ,3701 Loop Rd,Tuscaloosa,Crumpton Sprinkler,,,7/6/1982,1,,
VA Medical Center ,VA Medical Center ,3701 Loop Rd,Tuscaloosa,Crumpton Sprinkler,,,3/19/1993,1,,
VA Medical Center ,VA Medical Center ,3701 Loop Rd,Tuscaloosa,Crumpton Sprinkler,,,11/7/1991,1,,
VA Medical Center - Dietetcs Facility,VA Medical Center ,3701 Loop Rd,Tuscaloosa,Alabama Sprinkler,,,3/3/2006,1,,
Vision Correction Center ,Vision Correction Center ,1406 McFarland Blvd N Suite 2b ,Tuscaloosa,TFP ,TC1116,,10/27/2003,1,,
Walmart #715,Walmart #715,1501 Skyland Blvd ,Tuscaloosa,TFP ,TC1265,,2/13/2007,4,,
World Gym ,World Gym,1031 13th St E,Tuscaloosa,TFP ,TC1297,,10/2/2007,1,,Closed
Food Max,Foodmax,US Hwy 29,Valley,Crumpton Sprinkler,,,1/22/1990,3,,
Local Shops,Local Shops,,Valley,Crumpton Sprinkler,,,4/4/1990,1,,
Graham & Co - Central Warehouse ,Graham & Co,11180 Will Walker Road,Vance,TFP ,TC1152,,12/26/2005,23,,Closed
Graham & Co - Central Warehouse ,Graham & Co,11180 Will Walker Road,Vance,TFP ,TC1249,,11/14/2005,5,,Closed
MBUSI - I.T. Office Relocation ,MBUSI - I.T. Office ,1 Mercedes Drive,Vance,TFP ,TC1035,,10/26/1999,1,,
Mercedes Benz US International Inc - Central Stores Relocation ,Mercedes Benz US International Inc ,1 Mercedes Drive,Vance,TFP ,TC1528,,10/10/2011,2,,
Mercedes Benz US International Inc -251/164 Plant Expansion Assembly Logistics ,Mercedes Benz US International Inc ,1 Mercedes Drive,Vance,TFP ,TC1079,,2/1/2003,3,,
Mercedes Benz Shippers Bldg ,Mercedes Benz Shippers Bldg ,1 Mercedes Drive,Vance ,FPS ,,,12/1/2001,1,,
Mercedes Benz US International Inc ,Mercedes Benz US International Inc ,1 Mercedes Drive,Vance ,TFP ,TC1018,,12/12/1998,1,,
Mercedes Benz US International Inc ,Mercedes Benz US International Inc ,1 Mercedes Drive,Vance ,TFP ,TC1020,,3/2/1999,4,,
Mercedes Benz US International Inc - 251/164 Plant Expansion Assembly 18 Bay Addition ,Mercedes Benz US International Inc ,1 Mercedes Drive,Vance ,TFP ,TC1079,,8/18/2002,3,,
Mercedes Benz US International Inc - 251/164 Plant Expansion Body Shop ,Mercedes Benz US International Inc ,1 Mercedes Drive,Vance ,TFP ,TC1079,,12/21/2001,14,,
Mercedes Benz US International Inc - 251/164 Plant Expansion Energy Center Addition ,Mercedes Benz US International Inc ,1 Mercedes Drive,Vance ,TFP ,TC1079,,11/18/2002,2,,
Mercedes Benz US International Inc - Air Lock Tunnel,Mercedes Benz US International Inc ,1 Mercedes Drive,Vance ,TFP ,TC1010,,5/14/1998,1,,
Mercedes Benz US International Inc - Assembly Plant #1 ,Mercedes Benz US International Inc ,1 Mercedes Drive,Vance ,TFP ,TC1128,,1/12/2004,1,,
Mercedes Benz US International Inc - Assembly Plant #1 ,Mercedes Benz US International Inc ,1 Mercedes Drive,Vance ,TFP ,TC1156,,1/4/2005,1,,
Mercedes Benz US International Inc - Base Coat Booth Tack Off Zone Conversion ,Mercedes Benz US International Inc ,1 Mercedes Drive,Vance ,TFP ,TC1009,,4/22/1998,1,,
Mercedes Benz US International Inc - Body Shop Central Stores ,Mercedes Benz US International Inc ,1 Mercedes Drive,Vance ,TFP ,TC1079,,7/16/2002,1,,
Mercedes Benz US International Inc - Body Shop Fire Line ,Mercedes Benz US International Inc ,1 Mercedes Drive,Vance ,TFP ,TC1077,,11/11/2001,5,,
Mercedes Benz US International Inc - Body Shop Warranty Parts Trailer ,Mercedes Benz US International Inc ,1 Mercedes Drive,Vance ,TFP ,TC1079,,11/5/2002,1,,
Mercedes Benz US International Inc - East Team Member Service Bldg  ,Mercedes Benz US International Inc ,1 Mercedes Drive,Vance ,TFP ,TC1095,,12/4/2002,3,,
Mercedes Benz US International Inc - Expansion ,Mercedes Benz US International Inc ,1 Mercedes Drive,Vance ,TFP ,TC1002,,6/10/1998,9,,
Mercedes Benz US International Inc - M.O.E. Office Expansion ,Mercedes Benz US International Inc ,1 Mercedes Drive,Vance ,TFP ,TC1106,,5/15/2003,1,,
Mercedes Benz US International Inc - Main Street Office Addition ,Mercedes Benz US International Inc ,1 Mercedes Drive,Vance ,TFP ,TC1079,,4/4/2003,2,,
Mercedes Benz US International Inc - Miscellaneous Works ,Mercedes Benz US International Inc ,1 Mercedes Drive,Vance ,TFP ,TC1005,,1/26/1998,2,,
Mercedes Benz US International Inc - Paint Shop - Air Vestibules ,Mercedes Benz US International Inc ,1 Mercedes Drive,Vance ,TFP ,TC1072,,10/12/2001,1,,
Mercedes Benz US International Inc - Prime Coat Booth Tack Off Zone Conversion ,Mercedes Benz US International Inc ,1 Mercedes Drive,Vance ,TFP ,TC1007,,4/22/1998,2,,
Mercedes Benz US International Inc - Sealer Oven Mezzanine Extension ,Mercedes Benz US International Inc ,1 Mercedes Drive,Vance ,TFP ,TC1096,,12/4/2002,3,,
Mercedes Benz US International Inc - Spot Repair Platform - Assembly Plant #2 ,Mercedes Benz US International Inc ,1 Mercedes Drive,Vance ,TFP ,TC1113,,3/5/2005,21,,
Mercedes Benz US International Inc - Wellness Center ,Mercedes Benz US International Inc ,1 Mercedes Drive,Vance ,TFP ,TC1067,,8/21/2001,3,,
Alabama Power Co,Alabama Power Co,744 Co Rd 87,Varnon,Crumpton Sprinkler,,,6/30/1985,1,,
Alabama Power Company,Alabama Power Company,744 Co Rd 87,Varnon,Crumpton Sprinkler,,,7/22/1985,1,,
Omni International Inc,Omni International Inc,435 12th St SW,Vernon,Alabama Sprinkler,,,10/10/2005,1,,
Showbiz Pizza Place ,Showbiz Pizza Place ,500 Olde Town Rd,Vestavia,Crumpton Sprinkler,,,7/13/1982,3,,Closed
521 Bldg ,521 Bldg ,521 Montgomery Hwy ,Vestavia Hills,FPS ,,,2/1/2002,2,,
521 Corridor Revisions ,521 Corridor Revisions ,521 Montgomery Hwy ,Vestavia Hills,FPS ,,,10/1/2002,1,,
Beans Coffee House ,Beans Coffee House ,Vestridge Commons ,Vestavia Hills,FPS ,,,10/1/2000,1,,
Brookwood Dermatology ,Brookwood Dermatology ,521 Montgomery Hwy ,Vestavia Hills,FPS ,,,6/16/2004,1,,
Brookwood Dermatology ,Brookwood Dermatology ,521 Montgomery Hwy ,Vestavia Hills,FPS ,,,1/1/2003,1,,
Brookwood Medical Center - Outpatient Physical Therapy @ Gold's Gym ,Brookwood Medical Center ,1090 Montgomery Hwy ,Vestavia Hills,TFP ,TC1258,,1/18/2007,1,,
C & M Office Bldg ,C & M Office Bldg ,2871 Acton Rd ,Vestavia Hills,TFP ,TC1177,,2/13/2006,4,,
C & M Office Bldg - IMI Tenant Build - Out ,C & M Office Bldg ,2871 Acton Rd ,Vestavia Hills,TFP ,TC1224,,6/5/2006,1,,
C & M Office Bldg - Lot Suite 2-D ,C & M Office Bldg ,2871 Acton Rd ,Vestavia Hills,TFP ,TC1260,,1/22/2007,1,,
C & M Office Bldg - Moseley Suite 1-A ,C & M Office Bldg ,2871 Acton Rd ,Vestavia Hills,TFP ,TC1220,,4/26/2006,1,,
Cahaba River Road Retail  ,Cahaba River Road Retail  ,Cahaba Valley Rd,Vestavia Hills,TFP ,TC1144,,11/8/2004,1,,
Compass Bank - Liberty Park Branch ,Compass Bank,,Vestavia Hills,FPS ,,,8/1/2002,1,,
Dr. Joby Hurst DMD ,Dr. Joby Hurst DMD ,2000 Southlake Park ,Vestavia Hills,TFP ,TC1262,,9/19/2007,3,,
Drs. Walker & Steinmetz ,Drs. Walker & Steinmetz ,521 Montgomery Hwy ,Vestavia Hills,FPS ,,,1/1/2003,1,,
Fitness Together ,Fitness Together,521 Montgomery Hwy ,Vestavia Hills,FPS ,,,3/1/2003,1,,
Harris & Associates & Langley System,Harris & Associates & Langley System,3037 Massey Rd,Birmingham ,Crumpton Sprinkler,,,11/7/1989,2,,
iBeria Bank ,iBeria Bank ,613 Montgomery Hwy ,Vestavia Hills,TFP ,TC1497,,12/13/2010,2,,
Jim N Nicks ,Jim N Nicks ,3755 Corporate Woods Dr ,Birmingham ,FPS ,,,1/1/2007,5,,
Motorlodge Vestavia Motel ,Motorlodge Vestavia Motel ,1459 Montgomery Hwy ,Vestavia Hills,TFP ,TC1074,,3/21/2002,1,,
Mount Royal Towers - 2nd & 3rd Flr,Mount Royal Towers ,300 Royal Tower Dr ,Birmingham ,TFP ,TC1422,,8/24/2009,4,,
Nextel Communications ,Nextel Communications ,,Vestavia Hills,FPS ,,,10/1/2002,1,,
Nonna Rose Restaurant ,Nonna Rose Restaurant ,700 Montgomery Hwy ,Vestavia Hills,FPS ,,,11/1/2002,1,,Closed
Off the Grill ,Off the Grill,,Vestavia Hills,FPS ,,,10/1/2000,1,,
Off the Grill ,Off the Grill,,Vestavia Hills,FPS ,,,10/1/2000,1,,
Omega Propert Management ,Omega Propert Management ,4237 Oak View Lane ,Vestavia Hills,TFP ,TC1453,,8/24/2010,1,,
Pizza Magia ,Pizza Magia ,1360 Montgomery Hwy ,Vestavia Hills,FPS ,,,4/1/2003,1,,Closed
Rugged Warehouse ,Rugged Warehouse ,644 Montgomery Hwy   ,Vestavia Hills,FPS ,,,3/1/2003,1,,Closed
Shephard's Corner ,Shephard's Corner ,4237 Oak View Lane ,Vestavia Hills,TFP ,TC1160,,2/2/2005,2,,Closed
Shops at Publix - Tenant Spaces P-14 ,Shops at Publix ,784 Montgomery Hwy,Vestavia Hills,FPS ,,,11/1/2002,1,,
Snapper Grabbers ,Snapper Grabbers ,521 Montgomery Hwy ,Vestavia Hills,FPS ,,,3/1/2003,1,,
Stacy Claire Boyd Office Bldg ,Stacy Claire Boyd Office Bldg ,4615 Jackson Loop,Vestavia Hills,FPS ,,,11/17/2000,1,,
Stein Mart,Stein Mart ,644 Montgomery Hwy ,Vestavia Hills,FPS ,,,6/1/2001,1,,
Tacala LLC Bldg Addition ,Tacala LLC ,3750 Corporate Woods Dr,Vestavia Hills,TFP ,TC1511,,6/8/2011,3,,
Town Village ,Town Village ,2385 Dolly Ridge Rd,Vestavia Hills,TFP ,TC1044,,5/26/2000,16,,
Vestavia Center ,Vestavia Center ,644 Montgomery Hwy   ,Vestavia Hills,FPS ,,,7/1/2001,1,,
Vestavia Center ,Vestavia Center ,644 Montgomery Hwy   ,Vestavia Hills,FPS ,,,9/1/2001,3,,
Vestavia Center - Edward Jones Expansion ,Vestavia Center ,680 Montgomery Hwy   ,Vestavia Hills,FPS ,,,12/1/2002,1,,
Vestavia Center - Mariachi Grill ,Vestavia Center ,612 Montgomery Hwy  ,Vestavia Hills,FPS ,,,12/1/2002,1,,
Vestavia Hills Elementary at Liberty Park ,Vestavia Hills Elementary at Liberty Park ,17051 Liberty Prkwy ,Vestavia Hills,FPS ,,,5/1/2002,2,,
Vestavia Hills High School,Vestavia Hills High School,2235 Lime Rock Rd ,Vestavia Hills,TFP ,TC1101,,3/18/2002,2,,
Vestavia Hills High School,Vestavia Hills High School,2235 Lime Rock Rd ,Vestavia Hills,TFP ,TC1376,,2/9/2009,10,,
Vestavia Office Building,Vestavia Office Building,Hwy 31 S  & Shades Crest Rd,Vestavia Hills,Crumpton Sprinkler,,,6/19/1991,4,,
Vestridge Commons - Premier Academy ,Vestridge Commons,1360 Montgomery Hwy ,Vestavia Hills,FPS ,,,11/1/2002,2,,Closed
Vestridge Commons - Rolly Polly ,Vestridge Commons,1360 Montgomery Hwy ,Vestavia Hills,FPS ,,,4/1/2003,1,,Closed
Vestridge Commons - Sol Azteca ,Vestridge Commons,1360 Montgomery Hwy ,Vestavia Hills,FPS ,,,11/1/2002,1,,Closed
Bradford Health Services,Bradford Health Services,1189 Allbritton Rd,Warrior,FPS ,,,2/14/2008,2,,
Food World & Big B Drugs,Food World & Big B Drugs,4898 Us Hwy 231 ,Wetumpka,Crumpton Sprinkler,,,10/31/1984,4,,Closed
Power Systems Development,Power Systems Development,31800 Co Rd 26 ,Wilsonville,Crumpton Sprinkler,,,4/6/1994,1,,
SCS National Carbon Capture Ctr - Administration Bldg ,SCS National Carbon Capture Ctr,31800 Co Rd 26 ,Wilsonville,TFP ,TC1439,,5/7/2010,1,,
Southern Company Services,Southern Company Services,31800 Co Rd 26 ,Wilsonville,Crumpton Sprinkler,,,3/8/1994,1,,
Wilsonville Baptist Church ,Wilsonville Baptist Church ,9851 S Main St ,Wilsonville,FPS ,,,1/1/2008,2,,
Williamson Oil Co,Williamson Oil Co,,,Crumpton Sprinkler,,,4/24/1990,1,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
